no,author,comment,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated,Sentiment_Score,Label
1,riyanatkinson,Jakarta parking using e money flash brizzi toll entry card,namsor_api_2.0.30,LATIN,e47edeb6-12ef-4672-86a2-3b5bd793a521,riyanatkinson,male,-0.354070652,3.128929976,0.677035326,-2,Negative
2,aeldy rn,pay gopay with shopeepay funds,namsor_api_2.0.30,LATIN,9636a1b4-ee98-4432-a1d7-acbb9ceb2d36,aeldy rn,female,0.066887851,0.775960443,0.533443926,2,Positive
3,tatan t,Easiest payment using QRIS,namsor_api_2.0.30,LATIN,e9f99de2-864a-428d-9f20-27edc0812443,tatan t,male,-0.512525378,6.122137545,0.756262689,0,Neutral
4,bandar absyar,Bismillah you can,namsor_api_2.0.30,LATIN,5a177f21-f048-4be4-b657-db5bcde50dfa,bandar absyar,male,-0.78835731,8.080019623,0.894178655,4,Positive
5,betina  gemoy,hope motorbike parking Ponorogo East Java 1000km,namsor_api_2.0.30,LATIN,1c1a3eaf-7225-4928-9026-30d7ec02a1f4,betina  gemoy,female,0.716830715,7.413760549,0.858415358,2,Positive
6,dhikakwardani,"love, sometimes the plan is to give 2 thousand and give it back hehehehe",namsor_api_2.0.30,LATIN,042f9521-0047-43c9-9807-c3e28b9e2238,dhikakwardani,male,-0.070558383,0.956339702,0.535279192,9,Positive
7,frida jemprit,sometimes spending 5 10 thousand,namsor_api_2.0.30,LATIN,8b88574f-1ce3-4f9d-92cd-4a0eee4a8d09,frida jemprit,female,0.487838281,5.950353019,0.74391914,2,Positive
8,shellasritrisniawati,pay cash,namsor_api_2.0.30,LATIN,e62f77e7-3351-4af1-a98f-6b8bca07dbee,shellasritrisniawati,male,-0.058265403,0.391030697,0.529132701,0,Neutral
9,yanyunayamponorogo,nice ponorogo,namsor_api_2.0.30,LATIN,1c04b79a-5265-4956-9d20-2546c2b1e339,yanyunayamponorogo,male,-0.329225254,2.781785763,0.664612627,-2,Negative
10,mbak hess,right,namsor_api_2.0.30,LATIN,2007dac6-f9b8-48e6-8059-65c5fe8a7b22,mbak hess,female,0.04997057,0.046436057,0.524985285,2,Positive
11,mbak hess,help,namsor_api_2.0.30,LATIN,447feddc-d2e2-4285-bf01-2202fadb5bb0,mbak hess,female,0.04997057,0.046436057,0.524985285,0,Neutral
12,adhisthanadwijaaji,the parking is neat,namsor_api_2.0.30,LATIN,23f24f5a-39f2-4666-a68f-62c79aa4f028,adhisthanadwijaaji,male,-0.132805263,1.356804435,0.566402632,1,Positive
13,gustavianooo,oh the budget is useful,namsor_api_2.0.30,LATIN,3f577212-bf8a-426f-a4fd-3e17f87a0e56,gustavianooo,male,-0.381472308,4.375463172,0.690736154,5,Positive
14,itsmeolv ,parked a motorbike for 2k,namsor_api_2.0.30,LATIN,68d5f54d-05f9-4359-9301-b87035fa7091,itsmeolv ,male,-0.28538144,2.383392836,0.64269072,1,Positive
15,tamanbanyukencanawatublencong,Purwokerto Banyumas motorbike parking 1000,namsor_api_2.0.30,LATIN,f411176d-bfbb-4e6e-b136-3603ee5c2955,tamanbanyukencanawatublencong,male,-0.226980222,1.77334609,0.613490111,1,Positive
16,syahjulian ,the best human resources,namsor_api_2.0.30,LATIN,159f550f-49f5-4378-aa77-24854525574b,syahjulian ,male,-0.14673351,1.409635189,0.573366755,8,Positive
18,he rmawanandre,responsibility point 3 dare to take responsibility for reasonable taxes,namsor_api_2.0.30,LATIN,69fba8d4-2997-4324-bf2d-8c48d4f3c4f2,he rmawanandre,male,-0.302863916,2.526399148,0.651431958,-6,Negative
19,richardimm ,try 10 human resources,namsor_api_2.0.30,LATIN,17959ec1-e8fc-4e4e-9493-6ee73b8dba36,richardimm ,male,-0.172776153,1.513252043,0.586388076,4,Positive
20,ndy miella ,love the concept of slowly digital ponorogo,namsor_api_2.0.30,LATIN,58c02473-bdec-49fd-899c-500fd75113f8,ndy miella ,female,0.311947975,2.60817898,0.655973987,2,Positive
21,gustavianooo,make fun of,namsor_api_2.0.30,LATIN,87bdd0c9-238f-4a15-8c2c-e4ddef0e5468,gustavianooo,male,-0.381472308,4.375463172,0.690736154,-4,Negative
22,gustavianooo,chuaks,namsor_api_2.0.30,LATIN,470c3191-3190-4a2a-a1f7-868649fec130,gustavianooo,male,-0.381472308,4.375463172,0.690736154,0,Neutral
23,vxniiiaa,I'm sorry the jukir understands,namsor_api_2.0.30,LATIN,5019173c-14fd-45b5-9d55-12033c07c81a,vxniiiaa,female,0.066964923,0.779618656,0.533482462,1,Positive
24,ayupesek  ,"It's good that it's detrimental to the public, the road tariffs are the regulations for parking motorbikes",namsor_api_2.0.30,LATIN,c0e611c4-a1f6-4aad-a7ce-1d107cb7c9f3,ayupesek  ,male,-0.35494172,3.144407821,0.67747086,2,Positive
25,angga rmx  ,parked a motorbike for 2k,namsor_api_2.0.30,LATIN,c3d42592-87a4-4621-bc14-c1f8bf258b66,angga rmx  ,male,-0.363757761,3.314894769,0.681878881,1,Positive
