no,author,comment,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated,Sentiment_Score,Label
1,riyanatkinson,parkir jakarta pakai emoney flazz brizzi kartu2 masuk tol,namsor_api_2.0.30,LATIN,e47edeb6-12ef-4672-86a2-3b5bd793a521,riyanatkinson,male,-0.354070652,3.128929976,0.677035326,-2,Negative
2,aeldy rn,bayar gopay dana sopipay,namsor_api_2.0.30,LATIN,9636a1b4-ee98-4432-a1d7-acbb9ceb2d36,aeldy rn,female,0.066887851,0.775960443,0.533443926,2,Positive
3,tatan t,pembayaran termudah pakai qris,namsor_api_2.0.30,LATIN,e9f99de2-864a-428d-9f20-27edc0812443,tatan t,male,-0.512525378,6.122137545,0.756262689,0,Neutral
4,bandar absyar,bismillah bisaaa,namsor_api_2.0.30,LATIN,5a177f21-f048-4be4-b657-db5bcde50dfa,bandar absyar,male,-0.78835731,8.080019623,0.894178655,4,Positive
5,betina  gemoy,berharap parkir sepeda motor ponorogo jawa timur 1000kamin,namsor_api_2.0.30,LATIN,1c1a3eaf-7225-4928-9026-30d7ec02a1f4,betina  gemoy,female,0.716830715,7.413760549,0.858415358,2,Positive
6,dhikakwardani,love kadang rencananya dikasih 2 ribu dikasih kembalian hehehehe,namsor_api_2.0.30,LATIN,042f9521-0047-43c9-9807-c3e28b9e2238,dhikakwardani,male,-0.070558383,0.956339702,0.535279192,9,Positive
7,frida jemprit,kadang belanja 5 10 ribu,namsor_api_2.0.30,LATIN,8b88574f-1ce3-4f9d-92cd-4a0eee4a8d09,frida jemprit,female,0.487838281,5.950353019,0.74391914,2,Positive
8,shellasritrisniawati,membayar uang tunai,namsor_api_2.0.30,LATIN,e62f77e7-3351-4af1-a98f-6b8bca07dbee,shellasritrisniawati,male,-0.058265403,0.391030697,0.529132701,0,Neutral
9,yanyunayamponorogo,ponorogo bagus,namsor_api_2.0.30,LATIN,1c04b79a-5265-4956-9d20-2546c2b1e339,yanyunayamponorogo,male,-0.329225254,2.781785763,0.664612627,-2,Negative
10,mbak hess,bener,namsor_api_2.0.30,LATIN,2007dac6-f9b8-48e6-8059-65c5fe8a7b22,mbak hess,female,0.04997057,0.046436057,0.524985285,2,Positive
11,mbak hess,mantull,namsor_api_2.0.30,LATIN,447feddc-d2e2-4285-bf01-2202fadb5bb0,mbak hess,female,0.04997057,0.046436057,0.524985285,0,Neutral
12,adhisthanadwijaaji,parkirannya rapi,namsor_api_2.0.30,LATIN,23f24f5a-39f2-4666-a68f-62c79aa4f028,adhisthanadwijaaji,male,-0.132805263,1.356804435,0.566402632,1,Positive
13,gustavianooo,oh anggarannya berguna,namsor_api_2.0.30,LATIN,3f577212-bf8a-426f-a4fd-3e17f87a0e56,gustavianooo,male,-0.381472308,4.375463172,0.690736154,5,Positive
14,itsmeolv ,memarkir sepeda motor seharga 2k,namsor_api_2.0.30,LATIN,68d5f54d-05f9-4359-9301-b87035fa7091,itsmeolv ,male,-0.28538144,2.383392836,0.64269072,1,Positive
15,tamanbanyukencanawatublencong,parkir motor purwokerto banyumas 1000,namsor_api_2.0.30,LATIN,f411176d-bfbb-4e6e-b136-3603ee5c2955,tamanbanyukencanawatublencong,male,-0.226980222,1.77334609,0.613490111,1,Positive
16,syahjulian ,sumber daya manusia terbaik,namsor_api_2.0.30,LATIN,159f550f-49f5-4378-aa77-24854525574b,syahjulian ,male,-0.14673351,1.409635189,0.573366755,8,Positive
18,he rmawanandre,poin tanggung 3 berani bertanggung pajak masuk akal,namsor_api_2.0.30,LATIN,69fba8d4-2997-4324-bf2d-8c48d4f3c4f2,he rmawanandre,male,-0.302863916,2.526399148,0.651431958,-6,Negative
19,richardimm ,coba 10 sumber daya manusia,namsor_api_2.0.30,LATIN,17959ec1-e8fc-4e4e-9493-6ee73b8dba36,richardimm ,male,-0.172776153,1.513252043,0.586388076,4,Positive
20,ndy miella ,suka konsep ponorogo perlahan digital,namsor_api_2.0.30,LATIN,58c02473-bdec-49fd-899c-500fd75113f8,ndy miella ,female,0.311947975,2.60817898,0.655973987,2,Positive
21,gustavianooo,menyindir,namsor_api_2.0.30,LATIN,87bdd0c9-238f-4a15-8c2c-e4ddef0e5468,gustavianooo,male,-0.381472308,4.375463172,0.690736154,-4,Negative
22,gustavianooo,chuaks,namsor_api_2.0.30,LATIN,470c3191-3190-4a2a-a1f7-868649fec130,gustavianooo,male,-0.381472308,4.375463172,0.690736154,0,Neutral
23,vxniiiaa,sayang kasihan jukir mengerti,namsor_api_2.0.30,LATIN,5019173c-14fd-45b5-9d55-12033c07c81a,vxniiiaa,female,0.066964923,0.779618656,0.533482462,1,Positive
24,ayupesek  ,baguslah merugikan masyarakat tarif jalan peraturannya mobil motor parkir,namsor_api_2.0.30,LATIN,c0e611c4-a1f6-4aad-a7ce-1d107cb7c9f3,ayupesek  ,male,-0.35494172,3.144407821,0.67747086,2,Positive
25,angga rmx  ,memarkir sepeda motor seharga 2k,namsor_api_2.0.30,LATIN,c3d42592-87a4-4621-bc14-c1f8bf258b66,angga rmx  ,male,-0.363757761,3.314894769,0.681878881,1,Positive
26,ricki re,bayar 1000 parkir 2000,namsor_api_2.0.30,LATIN,5a12c91b-6307-4275-988a-d57aafeb073a,ricki re,female,0.361054223,3.259699994,0.680527112,-1,Negative
27,zuaruddin,diajak maju eparking berfungsi komentar sepeti,namsor_api_2.0.30,LATIN,5d10a4bc-5c34-40ff-af71-5666affa1014,zuaruddin,male,-0.260366859,2.116762379,0.63018343,1,Positive
28,ricardo kneff,bagus banget gan tau ponorogo gebrakan qris,namsor_api_2.0.30,LATIN,ad0444b9-a9ca-41ca-ab69-10728e9ea162,ricardo kneff,male,-0.805942792,8.309316538,0.902971396,-5,Negative
29,gustavianooo,mudah seribu langsung jukir,namsor_api_2.0.30,LATIN,b73d6a48-ccb9-4b50-83a0-0412952549ee,gustavianooo,male,-0.381472308,4.375463172,0.690736154,6,Positive
30,wildanhikmawan ,berdasarkan keputusan gubernur jawa timur nomor 188889kpts0132022 upah minimum kabupatenkota jawa timur 2023 upah minimum kabupaten ponorogo 2023 rp214970945 pembayaran sg biaya hidup layak fasilitasnya pendapatan masyarakat ben iso ditingkatkan solusi komentar sg 10 setuju inarat ne butakan peta,namsor_api_2.0.30,LATIN,75fbd90d-6bd4-4f4b-a163-7e8a6a5cbaec,wildanhikmawan ,male,-0.372161057,3.537772533,0.686080529,-5,Negative
31,wildanhikmawan ,setuju,namsor_api_2.0.30,LATIN,649574f5-0895-4c23-baec-2ef1de7d1149,wildanhikmawan ,male,-0.372161057,3.537772533,0.686080529,1,Positive
32,inutee fey,setuju min poll ben tukang parkirnya gak enggan kerja membayar 2000 faktanya kendaraan gak diamankan membayar parkir menbuat jengkel,namsor_api_2.0.30,LATIN,bb326443-aabd-48aa-98ce-312cc8863804,inutee fey,female,0.062857561,0.590788585,0.53142878,-13,Negative
33,dhikakwardani,setuju,namsor_api_2.0.30,LATIN,4f7aebfe-e23d-494b-89c4-b8cc5b418c96,dhikakwardani,male,-0.070558383,0.956339702,0.535279192,1,Positive
34,denyamalia,bagus minsudah tarifnya jukir seribu bibir cemberut,namsor_api_2.0.30,LATIN,b0b0d82b-6169-4540-a5ff-42721f398177,denyamalia,female,0.160691059,1.46433474,0.58034553,-6,Negative
35,off acc0unt ,1 arah sempit ponorogo mantap,namsor_api_2.0.30,LATIN,f478554b-de4f-4d8a-b9d4-ed2c88e82619,off acc0unt ,male,-0.636011802,6.879160975,0.818005901,-2,Negative
36,riyanatkinson,oh iya jakarta pakai qris semoga ponorogo pakai qris,namsor_api_2.0.30,LATIN,3fff955d-1f3a-43e0-8b4f-e7a0ba399a63,riyanatkinson,male,-0.354070652,3.128929976,0.677035326,0,Neutral
37,ramangabdulazis,orang orang sumber daya manusia rendah contohnya,namsor_api_2.0.30,LATIN,f45c49cd-1ad8-4af8-8e7d-d124ce953904,ramangabdulazis,male,-0.336565729,2.864406296,0.668282864,-2,Negative
