"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","replyCount","replyToCid","title","type","videoId","voteCount"
"@gedongjaya3730","false","Ugx7n_DER-8LAJCnnLh4AaABAg","Maksimal untuk pemerintah
Tidak maksimal untuk jukir,,karena pendapatan bisa terkontrol😂","3","false","https://youtu.be/2oQTSEsxyTM?si=ySGLnoMn9dUxoJ4B","0",,"PONOROGO - Tidak Efektif, Juru Parkir Tolak Penerapan E-Parking","comment","2oQTSEsxyTM","0"
"@willybaraja8629","false","Ugy9AAxzMUpSdLY_3Ch4AaABAg","Mening meninggg 👍👍👍👍","3","false","https://youtu.be/2oQTSEsxyTM?si=ySGLnoMn9dUxoJ4B","0",,"PONOROGO - Tidak Efektif, Juru Parkir Tolak Penerapan E-Parking","comment","2oQTSEsxyTM","0"
"@riskyfadhillah105","false","UgwGpVgnwMPsZ9E2jdl4AaABAg","Klo ini bukan bocor lagi... tapu jebol. Wayae bayar okeh sing kabur disek.... bnr pak parkir. Ponorogo drung wayae.","3","false","https://youtu.be/2oQTSEsxyTM?si=ySGLnoMn9dUxoJ4B","0",,"PONOROGO - Tidak Efektif, Juru Parkir Tolak Penerapan E-Parking","comment","2oQTSEsxyTM","0"
"@genibumi","false","UgyeGtuHWZh_rua5N1V4AaABAg","Oo ponorogo yg kota reog itu ya , katanya daerah itu terkenal dng negeri balon nya","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@blackbeard4334","false","UgxCe3NXsnbp8kfZYxV4AaABAg","Bukan RUMIT.
belom beradaptasi.
Klo yg ngomong JUKIR merepotkan karna dia ngak dapat lagi UANG GELAP dari parkiran.
Klo E parking sdh dipahami matilah para JUKIR seluruh NASIONAL","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","1",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@sanquotes2128","false","UgymZAcrRWB4Hl4_Q5h4AaABAg","Bukan masalah rumit, tpi penghasilan meraka pasti berkurang","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@satreaaji","false","Ugxifj33JhWI7EwV6Yl4AaABAg","Bukan rumit, tp ga bisa masuk kantong, ya kan mana pernah jukir kasih karcis parkir 😄","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@bekicot88","false","Ugw8SScICsCT9yG1T-B4AaABAg","Rumit karena ga bisa masuk kantong sendiri","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@ariusbudiman7105","false","UgxjbdmgGJhi7G3nI8Z4AaABAg","JP ini salah satu kerjaan yang unfaedah.","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@cowayofficial","false","UgwfSdw9orW_-jMB2O54AaABAg","sebenarnya simpel aja sih, jalan itu yang bangun pemerintah, ya apapun kegiatan diatas nya menjadi milik pemerintah sepenuh nya, asal dilakukan dengan kejujuran dan transparansi..","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","1"
"@adolfbastian661","false","UgzNYEIDUJBeQL4TDtd4AaABAg","Alasan rumit mrk ngambilin uang parkir tanpa karcis resmi enak bener gada bedanya sama KANG PALAK. Lanjutkan e-parking!!👍👍","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","1",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@andrisetiawan8098","false","Ugy3noguyNKxmLKVY_x4AaABAg","Alhamdulilah semoga tidak ada lagi parkir di alfa dan indomaret","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@robbycandra4298","false","Ugx0dO7itOkRZdCddcx4AaABAg","Ga mau ribet, ga usah kerja.","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@jakabaring923","false","UgyIt9qH7BVv7UnHist4AaABAg","Parkir liar lahan basah buat orang malas 😂😂😂😂","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@indonesiahebat3936","false","UgyIH1vXrRTad38iMIN4AaABAg","Semoga dibayar tidak menggunung.","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@arifinsiregar608","false","UgyIlWUNU0_lOdRBBXh4AaABAg","Alah gabisa korup kalo pake E-parkir","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@smartstudent4431","false","Ugzx0-6Y-PO-4sPZh9N4AaABAg","E-Parking d pinggir jalan emang sulit, g enak, ruwet, mending benerin dulu lahan parkirnya biar ada jalur masuk sama jalur keluar. Jangan hanya krn lebih mudah jadi dikerjain duluan. Semua tuh ada tahapannya. Ibarat masak mie, didihkan dulu airnya jgn langsung masukin mie nya, nanti lodoh.","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@zvq1827","false","UgyYCZwdbX5ZUrrA-Kp4AaABAg","Sebuah terobosan yang HEBAT...!!!!
Alhamdulillah kota ini mempunyai ide yang brillian, saya pernah tinggal di beberapa kota dimana di salah satu kota tersebut perasaan tiap sejengkal tanah ada tukang parkir sampai-sampai mau beli barang sepele aja akhirnya ngga kebeli krn uang berkurang banyak untuk bayar parkir sana-sini. Mereka juga ngga setor ke pemerintah dengan jujur, motor hilang juga ngga mau ganti, uang parkir sebagian besar hanya utk kepentingan pribadi, bahkan utk pengusaan lahan parkir antara mereka jual-belinya nyampe ratusan juta bahkan milyaran. Hilangkan tukang parkir manual sebelum menjadi-jadi, ganti dg E-parkir agar uangnya bisa utk menambah BLT masyarakat miskin, kasih mereka cangkul & sabit agar lebih barokah karena parkir menyusahkan masyarakat, parkir manual tidak membantu masyarakat tapi lebih ke arah premanisme.","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@dickykrisnanda3683","false","UgyiBwQNWE_jLZOxHiN4AaABAg","Turu ae kalau gak mau e-parking males kerjo minta upah😂","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@user-nk8zu2no5y","false","Ugx_7ArZRUvGIlb5I4N4AaABAg","kenapa gak pake parkir berlanggan pake stiker???menolak e parking ??? emange ini jalane mbah mu ??????","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
