Unnamed: 0,author,comment,translated_comment
1,riyanatkinson,"@ricardo_kneff kalau di jakarta e parking biasanya pakai e money, flazz, brizzi, kartu2 yg buat masuk tol itu","@ricardo_kneff kalau parkir di Jakarta biasanya pakai e-money, flazz, brizzi, kartu2 untuk masuk tol"
2,aeldy.rn,"Bayar pakek gopay,dana opo sopipay?","Bayar lewat gopay, dana atau sopipay?"
3,tatan.t,Pembayaran paling gampang Jane gae Qris??,Pembayaran termudah Jane gae Qris??
4,bandar_absyar,Kalau gak di mulai tdk akan pernah mulai.. bismillah bisaaa..,Jika kamu tidak memulai maka kamu tidak akan pernah memulai..
5,betina__gemoy,Wkwk brharap parikir motor di seluruh Ponorogo Jawa Timur. 1000k????amin,"Kami berharap dapat menemukan sepeda motor di seluruh Ponorogo, Jawa Timur. 1000k????amin"
6,dhikakwardani,@frida_jemprit lovekadang rencana mau ngasih 2rbu trus tau g dikembaliin malih g jadi. Hehehehe,@frida_jemprit love - kadang rencananya dikasih 2 rubu lalu dikembalikan lagi. Hehehehe
7,frida_jemprit,"@dhikakwardani  Inggih ,, kadang kita kaum ibu2 mau belanja tdk di tempat itu saja ,, jadi klo di 5 tempat sudah 10 rb sendiri ,,","@dhikawardani Nah, kadang kita para ibu tidak mau belanja di tempat itu, jadi kalau ke 5 tempat saja sudah 10 ribu sendiri."
8,shellasritrisniawati,@aldyn.rn Pakai uang tunai bisa kak bayarnya,@aldyn.rn Anda dapat membayar dengan uang tunai
9,yanyunayamponorogo,Ponorogo hebat,Ponorogo bagus sekali
10,mbak_hess,@frida_jemprit bener??,@frida_jemprit kan??
11,mbak_hess,Mantull,mantel
12,adhisthanadwijaaji,Sing penting parkire rapi..,Yang penting parkirannya rapi..
13,gustavianooo,@bayu_fikri_ oh iyo ben macak kegawe anggaran e ??,@bayu_fikri_ oh cara membuat anggarannya gimana?
14,itsmeolv_,"Mbok ngnoooo, ben parkir motor gak 2rb","Oleh karena itu, saya tidak memarkir sepeda motor seharga 2k"
15,tamanbanyukencanawatublencong,Purwokerto banyumas parkir motor esih 1000,Parkir motor purwokerto banyumas masih 1000
16,syahjulian_,@gustavianooo si paling SDM,@gustavianooo adalah sumber daya manusia terbaik
17,syahjulian_,,Di Sini
18,he_rmawanandre,"Poin pertanggung jawaban ke 3 kok seg podo ae , gak wani tanggung jawab kur njaluk pajak . Ndak masuk akal","Poin tanggung jawab yang ke 3 juga sama, saya tidak berani bertanggung jawab ketika saya minta pajak. Itu tidak masuk akal"
19,richardimm_,"@gustavianooo jajal 10tahun kas, tibake sdm e sek podo","@gustavianooo tes tunai 10 tahun, sama saja"
20,ndy.miella_,Saya suka konsep ini ?? perlahan-lahan Ponorogo menuju go digital,Saya suka konsep ini?? Ponorogo perlahan menuju digital
21,gustavianooo,@julia.nsyahputra si paling satir,@julia.nsyahputra paling menyindir
22,gustavianooo,@rchrdimm_ chuaks ??,@rchrdimm_ chuaks ??
23,vxniiiaa,mesakne jukir seng tuek pak gak paham gawe kui,Sayang sekali Anda tidak mengerti apa yang harus dilakukan
24,ayupesek95,Baguslah seperti ini jd kan gak merugikan masyarakat kecil gak sesuka hati kasih tarif padahal udh ada peraturan yg di tulis di jalan2 berapa2 parkir motor dan mobil,"Baguslah seperti ini karena tidak merugikan masyarakat kecil. Saya tidak mau memberi tarif padahal di jalan sudah ada peraturannya, berapa jumlah mobil dan motor yang boleh parkir."
25,angga_rmx22,layo ngono mbokan moso parker motor 2k ??,Apakah mungkin untuk memarkir sepeda motor seharga 2k?
