no,author,comment,Sentiment_Score,Sentiment_Category,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated
1,riyanatkinson,"@ricardo_kneff kalau di jakarta e parking biasanya pakai e money, flazz, brizzi, kartu2 yg buat masuk tol itu",-3,Negative,namsor_api_2.0.30,LATIN,e47edeb6-12ef-4672-86a2-3b5bd793a521,riyanatkinson,male,-0.354070652,3.128929976,0.677035326
2,aeldy rn,"Bayar pakek gopay,dana opo sopipay?",-2,Negative,namsor_api_2.0.30,LATIN,9636a1b4-ee98-4432-a1d7-acbb9ceb2d36,aeldy rn,female,0.066887851,0.775960443,0.533443926
3,tatan t,Pembayaran paling gampang Jane gae Qris??,1,Positive,namsor_api_2.0.30,LATIN,e9f99de2-864a-428d-9f20-27edc0812443,tatan t,male,-0.512525378,6.122137545,0.756262689
4,bandar absyar,Kalau gak di mulai tdk akan pernah mulai.. bismillah bisaaa..,4,Positive,namsor_api_2.0.30,LATIN,5a177f21-f048-4be4-b657-db5bcde50dfa,bandar absyar,male,-0.78835731,8.080019623,0.894178655
5,betina  gemoy,Wkwk brharap parikir motor di seluruh Ponorogo Jawa Timur. 1000k????amin,1,Positive,namsor_api_2.0.30,LATIN,1c1a3eaf-7225-4928-9026-30d7ec02a1f4,betina  gemoy,female,0.716830715,7.413760549,0.858415358
6,dhikakwardani,@frida_jemprit lovekadang rencana mau ngasih 2rbu trus tau g dikembaliin malih g jadi. Hehehehe,-2,Negative,namsor_api_2.0.30,LATIN,042f9521-0047-43c9-9807-c3e28b9e2238,dhikakwardani,male,-0.070558383,0.956339702,0.535279192
7,frida jemprit,"@dhikakwardani  Inggih ,, kadang kita kaum ibu2 mau belanja tdk di tempat itu saja ,, jadi klo di 5 tempat sudah 10 rb sendiri ,,",2,Positive,namsor_api_2.0.30,LATIN,8b88574f-1ce3-4f9d-92cd-4a0eee4a8d09,frida jemprit,female,0.487838281,5.950353019,0.74391914
8,shellasritrisniawati,@aldyn.rn Pakai uang tunai bisa kak bayarnya,3,Positive,namsor_api_2.0.30,LATIN,e62f77e7-3351-4af1-a98f-6b8bca07dbee,shellasritrisniawati,male,-0.058265403,0.391030697,0.529132701
9,yanyunayamponorogo,Ponorogo hebat,0,Neutral,namsor_api_2.0.30,LATIN,1c04b79a-5265-4956-9d20-2546c2b1e339,yanyunayamponorogo,male,-0.329225254,2.781785763,0.664612627
10,mbak hess,@frida_jemprit bener??,2,Positive,namsor_api_2.0.30,LATIN,2007dac6-f9b8-48e6-8059-65c5fe8a7b22,mbak hess,female,0.04997057,0.046436057,0.524985285
11,mbak hess,Mantull,0,Neutral,namsor_api_2.0.30,LATIN,447feddc-d2e2-4285-bf01-2202fadb5bb0,mbak hess,female,0.04997057,0.046436057,0.524985285
12,adhisthanadwijaaji,Sing penting parkire rapi..,6,Positive,namsor_api_2.0.30,LATIN,23f24f5a-39f2-4666-a68f-62c79aa4f028,adhisthanadwijaaji,male,-0.132805263,1.356804435,0.566402632
13,gustavianooo,@bayu_fikri_ oh iyo ben macak kegawe anggaran e ??,0,Neutral,namsor_api_2.0.30,LATIN,3f577212-bf8a-426f-a4fd-3e17f87a0e56,gustavianooo,male,-0.381472308,4.375463172,0.690736154
14,itsmeolv ,"Mbok ngnoooo, ben parkir motor gak 2rb",1,Positive,namsor_api_2.0.30,LATIN,68d5f54d-05f9-4359-9301-b87035fa7091,itsmeolv ,male,-0.28538144,2.383392836,0.64269072
15,tamanbanyukencanawatublencong,Purwokerto banyumas parkir motor esih 1000,1,Positive,namsor_api_2.0.30,LATIN,f411176d-bfbb-4e6e-b136-3603ee5c2955,tamanbanyukencanawatublencong,male,-0.226980222,1.77334609,0.613490111
16,syahjulian ,@gustavianooo si paling SDM,0,Neutral,namsor_api_2.0.30,LATIN,159f550f-49f5-4378-aa77-24854525574b,syahjulian ,male,-0.14673351,1.409635189,0.573366755
17,syahjulian ,,-6,Negative,namsor_api_2.0.30,LATIN,527f4674-b876-4c00-bdaa-2ec977d1cea2,syahjulian ,male,-0.14673351,1.409635189,0.573366755
18,he rmawanandre,"Poin pertanggung jawaban ke 3 kok seg podo ae , gak wani tanggung jawab kur njaluk pajak . Ndak masuk akal",-4,Negative,namsor_api_2.0.30,LATIN,69fba8d4-2997-4324-bf2d-8c48d4f3c4f2,he rmawanandre,male,-0.302863916,2.526399148,0.651431958
19,richardimm ,"@gustavianooo jajal 10tahun kas, tibake sdm e sek podo",2,Positive,namsor_api_2.0.30,LATIN,17959ec1-e8fc-4e4e-9493-6ee73b8dba36,richardimm ,male,-0.172776153,1.513252043,0.586388076
20,ndy miella ,Saya suka konsep ini ?? perlahan-lahan Ponorogo menuju go digital,-1,Negative,namsor_api_2.0.30,LATIN,58c02473-bdec-49fd-899c-500fd75113f8,ndy miella ,female,0.311947975,2.60817898,0.655973987
21,gustavianooo,@julia.nsyahputra si paling satir,0,Neutral,namsor_api_2.0.30,LATIN,87bdd0c9-238f-4a15-8c2c-e4ddef0e5468,gustavianooo,male,-0.381472308,4.375463172,0.690736154
22,gustavianooo,@rchrdimm_ chuaks ??,-3,Negative,namsor_api_2.0.30,LATIN,470c3191-3190-4a2a-a1f7-868649fec130,gustavianooo,male,-0.381472308,4.375463172,0.690736154
23,vxniiiaa,mesakne jukir seng tuek pak gak paham gawe kui,3,Positive,namsor_api_2.0.30,LATIN,5019173c-14fd-45b5-9d55-12033c07c81a,vxniiiaa,female,0.066964923,0.779618656,0.533482462
24,ayupesek  ,Baguslah seperti ini jd kan gak merugikan masyarakat kecil gak sesuka hati kasih tarif padahal udh ada peraturan yg di tulis di jalan2 berapa2 parkir motor dan mobil,0,Neutral,namsor_api_2.0.30,LATIN,c0e611c4-a1f6-4aad-a7ce-1d107cb7c9f3,ayupesek  ,male,-0.35494172,3.144407821,0.67747086
25,angga rmx  ,layo ngono mbokan moso parker motor 2k ??,1,Positive,namsor_api_2.0.30,LATIN,c3d42592-87a4-4621-bc14-c1f8bf258b66,angga rmx  ,male,-0.363757761,3.314894769,0.681878881
26,ricki re,@wong_heloss25 nguyoh ae 2000 kok ngasi parkir 1000????????,0,Neutral,namsor_api_2.0.30,LATIN,5a12c91b-6307-4275-988a-d57aafeb073a,ricki re,female,0.361054223,3.259699994,0.680527112
27,zuaruddin,"@gustavianooo dijak maju gk gelem, ngko e-parking wes jalan gnti komen ""mbok yo ngne ket biyen"" ??",-5,Negative,namsor_api_2.0.30,LATIN,5d10a4bc-5c34-40ff-af71-5666affa1014,zuaruddin,male,-0.260366859,2.116762379,0.63018343
28,ricardo kneff,@riyanatkinson biasane emg gt mas.. yaa siapa tau ponorogo mau buat terobosan bayare pake Qris ????,4,Positive,namsor_api_2.0.30,LATIN,ad0444b9-a9ca-41ca-ab69-10728e9ea162,ricardo kneff,male,-0.805942792,8.309316538,0.902971396
