Comment,Label
naaah benul wis jajal eparkir durung kak,0
lhadalaaah,1
iku masalahe ki nggur durung kulino ae,1
sui sui kno e toilet barang iki ngko,1
intine gelem maju opo mundur,1
pelan pelan,1
hooh sih bener lhaaaa dadi awakmu tim manual parkir kak,0
okeeee kakak semangat,2
jukir nolak eparkir kene yo nolak mparkir podo nolak e akhire gk sido mbayar,1
siplanjutkan,1
udh tua bgaimna dongksiann ga ngrti gituan,0
enak pakai e parkir kayakny,2
oke deh rpp onok kemajuan,2
mohon tukang parkir kalok niat parkir,1
yg jlas ditertibkan jukir yg ngentolan udh jlas trtulis perda tarif parkir brp seenak e parkir sbnrnya bagus mudah udh terbiasa menghindari kebocoran pad jg yuk maju yuk ponorogo hebat,2
ga berlaku,1
kadang diwei 5 ewu gak jujul alasan gak ketok ngamal,2
panggah cilik seng gae susah,0
bener bayar sg dibayar karo pemasukan e bedo wkwkw pengunjung parkir kebanyakan ga diwei karcis karcis e maleh dadi akal akal ane jukir sg senengane main pungli,2
lawong pegel lo mas,1
sing nolak2 kon prei ae dadi jukir,2
kaboten setor paleng wkwwkwk,1
shodaqoh ng masjid ae maton drpd shodaqoh tp grundel mslhnya brg gk pakek parkir maton prayo malih grundel,2
intine lek noto amrih pemasukan daerah meningkat mengurangimeniadakan kebocoran oke oke wae imbal balike masyarakat meningkat,2
kyok sistim gacoan surya swalayan bayar parkirnya kasir kebocoran tarif e podo tur ora dislewengke,0
nek ra gelem dadi jukir munduro aenek maju2 keterak motor ngko,1
si satir,0
teknologi msa kadang yg muda aja yg gaptek apalgi bpk2 jukir ekstra utk belajar lgi,2
aneh aneh tau sdm stuck kecepeten 10 taun,0
kebiasaan 2 ribu dapetnya,1
duduk seng nang latar e latansa lo yaseng dalan hoskan parkire dewe2 iku,0
makan rakyat makan wakil rakyat,1
iki sak eroh ku lo ya teko kuto sing wis ono eparking gak ribet pembayarane soale g atek duwek ngetap kartu luwih higienis luwih tertib pembayarane soale tertera area ne ugo tukang parkir penghasilane luwih iso dijagakno soale digajibln paham karepe podo enake awake dewe pemakai jasa parkir jukir lan pemkab masalahe saiki ponorogo wis tah gawe ngelaksanakno sosialisasi opo wis masyarakat kabeh ngerti gawe rambu ae dadak sik ngenteni kejadian marka jalan akeh sing durung dibenah garis hilangpudar owalah ojo grusa grusu,2
dijak maju gk gelem ngko eparking wes jalan gnti komen mbok yo ngne ket biyen,1
iki ws arp event grbg sur area aln wajib eparking bn ora meresahkan,0
taman jalan mengganggu bahu jalan parkir jalan terwagu,2
e parking keharusan,1
bos berek,2
penak ra penak min,1
aji mumpung to maktrs gunane perdabisa diubah trgantung sikongt to,1
keburu lari,0
sek mending mba 3 rb pas rme rme e 5rb wkk,2
nggih leres setuju,2
krungu krungu pasar lanang iku ameh digae parkiran mobil ngono min jane cocok lo kui,2
jane eparkir i cocok e gae lahan seh enek khusus parkir koyo mall toserba utowo pasar lek peruntukan gae lahan parkir terbukapinggir ratan i cocok soale mesti ribet tp lek manual ya sek akeh jukir seh nakal mboh bingung,0
lhadalah iki anu nek iki,0
ya ditolakdia gak duit tambhan pemasukandan rawan pungliklo sdh pungli preman,0
kacau,1
tenaga yg nganggur,1
